1, Roast lamb, gravy, jacket potato, seasonal vegetables, soup, custard, juice
2, Beef tomato casserole, creamed potato, seasonal vegetables, soup, jelly, juice
3, Main salad, bread, margarine, juice, canned fruit, custard, water
4, Beef Mexican meatballs, boiled rice, seasonal vegetables, lemon sponge, water
5, Sandwich, soup, side salad, vanilla yoghurt, milk
6, Spinach and pumpkin risotto, seasonal vegetables, soup, bread, margarine, jelly
7, Baked fish, tartare sauce, seasonal vegetables, creamed potato, jelly, custard, water
8, Sandwich, Beef tomato casserole, seasonal vegetables, juice, jelly
