epoch,b,test,testSim,testSimRN,train,trainSim,trainSimRN
0,0.5,0.749252585,0.243662587,0.243662587,0.755905377,0.264249639,0.255321068
1,0.5,0.748814086,0.305531274,0.305531274,0.754896353,0.332783189,0.325838745
2,0.5,0.76079492,0.383024961,0.383024961,0.767528135,0.41024531,0.41024531
3,0.5,0.762570759,0.383024961,0.383024961,0.768653733,0.41024531,0.41024531
4,0.5,0.764254851,0.383024961,0.383024961,0.771241977,0.41024531,0.41024531
5,0.5,0.765559145,0.383024961,0.383024961,0.772407085,0.41024531,0.41024531
6,0.5,0.755904721,0.383024961,0.383024961,0.766286168,0.41024531,0.41024531
7,0.5,0.760628418,0.394388598,0.383024961,0.770959233,0.41024531,0.41024531
8,0.5,0.763670598,0.394388598,0.383024961,0.772882968,0.41024531,0.41024531
9,0.5,0.76224863,0.383024961,0.383024961,0.771070136,0.41024531,0.41024531
10,0.5,0.760142737,0.394388598,0.383024961,0.769073461,0.424134199,0.41024531
11,0.5,0.765192489,0.425638598,0.383024961,0.774179964,0.430384199,0.41024531
12,0.5,0.758976909,0.421377234,0.383024961,0.769171602,0.42979798,0.424134199
13,0.5,0.711100928,0.419628982,0.410013598,0.718277335,0.436931818,0.441098485
14,0.5,0.770914642,0.419628982,0.419628982,0.779260068,0.441098485,0.441098485
15,0.5,0.770636721,0.429244367,0.419628982,0.779180678,0.443876263,0.441098485
16,0.5,0.758257493,0.51810169,0.518642816,0.779800136,0.54636544,0.540683622
17,0.5,0.76935049,0.518642816,0.527571387,0.787699644,0.545147908,0.551397908
18,0.5,0.76953701,0.527571387,0.527571387,0.78565613,0.545147908,0.551397908
19,0.5,0.790160848,0.527571387,0.527571387,0.803005613,0.545147908,0.551397908
20,0.5,0.796421992,0.518642816,0.527571387,0.8113192,0.540683622,0.551397908
21,0.5,0.777543892,0.527571387,0.527571387,0.794404988,0.551397908,0.551397908
22,0.5,0.797546569,0.518642816,0.527571387,0.814686371,0.540683622,0.551397908
23,0.5,0.801259692,0.518642816,0.527571387,0.81985756,0.540683622,0.545147908
24,0.5,0.804710191,0.518642816,0.527571387,0.821899526,0.540683622,0.551397908
25,0.5,0.80669101,0.518642816,0.527571387,0.824394119,0.540683622,0.551397908
26,0.5,0.811646381,0.530006452,0.527571387,0.827171775,0.545147908,0.545147908
27,0.5,0.812860312,0.518642816,0.527571387,0.828745616,0.545147908,0.551397908
28,0.5,0.816042872,0.518642816,0.527571387,0.833810777,0.540683622,0.545147908
29,0.5,0.819081211,0.518642816,0.527571387,0.834018325,0.551397908,0.551397908
30,0.5,0.822470114,0.518642816,0.527571387,0.838906161,0.540683622,0.545147908
31,0.5,0.822422429,0.518642816,0.527571387,0.837425746,0.545147908,0.551397908
32,0.5,0.825267091,0.518642816,0.527571387,0.841345256,0.537335408,0.551397908
33,0.5,0.825913512,0.518642816,0.527571387,0.841569298,0.541799693,0.551397908
34,0.5,0.826135147,0.518642816,0.527571387,0.842707766,0.540683622,0.551397908
35,0.5,0.827160431,0.518642816,0.527571387,0.843505395,0.545147908,0.551397908
36,0.5,0.827091277,0.518642816,0.527571387,0.842455082,0.545147908,0.551397908
37,0.5,0.82719218,0.518642816,0.527571387,0.844020048,0.545147908,0.551397908
38,0.5,0.823267356,0.527571387,0.527571387,0.843680271,0.551397908,0.551397908
39,0.5,0.82605937,0.518642816,0.527571387,0.843084861,0.551397908,0.551397908
40,0.5,0.82414741,0.522809482,0.527571387,0.843464368,0.553719336,0.551397908
41,0.5,0.823445355,0.523574788,0.527571387,0.843502781,0.555785663,0.551397908
42,0.5,0.822743301,0.524340094,0.527571387,0.843541193,0.557851989,0.551397908
43,0.5,0.822041247,0.525105401,0.527571387,0.843579605,0.559918316,0.551397908
44,0.5,0.821339192,0.525870707,0.527571387,0.843618018,0.561984642,0.551397908
45,0.5,0.820637138,0.526636013,0.527571387,0.84365643,0.564050969,0.551397908
46,0.5,0.819935083,0.527401319,0.527571387,0.843694842,0.566117295,0.551397908
47,0.5,0.819233029,0.528166625,0.527571387,0.843733254,0.568183622,0.551397908
48,0.5,0.818530975,0.528931931,0.527571387,0.843771667,0.570249948,0.551397908
49,0.5,0.81782892,0.529697237,0.527571387,0.843810079,0.572316275,0.551397908
0,1,0.71170143,0.25389321,0.220807844,0.728817724,0.262699811,0.22692946
1,1,0.726804189,0.256715584,0.25044586,0.741173634,0.263302392,0.260809515
2,1,0.736132699,0.324298545,0.324298545,0.749867637,0.351948056,0.344377544
3,1,0.737463343,0.327714961,0.327714961,0.752322937,0.359071139,0.348150466
4,1,0.736656726,0.336225183,0.32976481,0.749611377,0.361073835,0.35041422
5,1,0.743873018,0.331131377,0.324776481,0.757516589,0.351923389,0.351923389
6,1,0.73457986,0.332107495,0.325827941,0.749324266,0.359908876,0.353001367
7,1,0.745556753,0.338230028,0.326616536,0.7613725,0.357232527,0.35380985
8,1,0.74228998,0.342761422,0.333408987,0.75897867,0.360750179,0.364634184
9,1,0.744169334,0.333864509,0.32772057,0.758671391,0.358320894,0.352528037
10,1,0.741074691,0.336543666,0.334237209,0.756670057,0.368814015,0.355353319
11,1,0.74649085,0.358208854,0.334547792,0.762915574,0.375558046,0.359046472
12,1,0.745355154,0.35357068,0.328739677,0.761876867,0.37259977,0.36039531
13,1,0.721505868,0.353002661,0.342229492,0.735021631,0.369334173,0.369001177
14,1,0.747149176,0.353251517,0.347213055,0.761431838,0.371640152,0.369267899
15,1,0.747392955,0.3610845,0.353469266,0.761635582,0.37986724,0.371868353
16,1,0.744166832,0.40237791,0.396631973,0.765737594,0.421784974,0.415967238
17,1,0.751335438,0.402915962,0.401338788,0.771079158,0.427130561,0.424568595
18,1,0.749818839,0.407592011,0.401597961,0.768707669,0.424082498,0.424831606
19,1,0.740296153,0.40781694,0.401831217,0.759725071,0.421959342,0.425068316
20,1,0.76551525,0.403572514,0.402042258,0.782655608,0.42558154,0.422293388
21,1,0.75676802,0.405077608,0.408205453,0.776136425,0.438040687,0.427823062
22,1,0.699782985,0.404199114,0.391396819,0.715468683,0.410693358,0.409416656
23,1,0.768171729,0.458437658,0.465136701,0.788859421,0.482167255,0.486155279
24,1,0.770951999,0.458527416,0.460550854,0.790452854,0.48459617,0.487619705
25,1,0.77491572,0.458610269,0.465314314,0.794117764,0.481405096,0.489460574
26,1,0.77906327,0.467888119,0.465393252,0.797040093,0.488742221,0.486406802
27,1,0.776660774,0.462258883,0.465466553,0.796987945,0.489745951,0.489615113
28,1,0.779901362,0.456386288,0.459598177,0.799523095,0.481038421,0.480948188
29,1,0.782353769,0.456449684,0.465598493,0.80013793,0.493012188,0.489749047
30,1,0.780459085,0.456508989,0.465658079,0.800960204,0.487682642,0.486666439
31,1,0.783525496,0.456564588,0.465713941,0.801262493,0.489980722,0.484278498
32,1,0.782546845,0.456616817,0.459843022,0.802714433,0.486096955,0.484334592
