epoch,test,testSim,testSimRN,train,trainSim,trainSimRN
65,0.699051203,0.299053931,0.343839841,0.720510238,0.380311355,0.397222222
66,0.699184559,0.291067251,0.340998932,0.720665549,0.385852342,0.397222222
67,0.698766277,0.289982337,0.34457036,0.720456442,0.393378643,0.397222222
68,0.69897733,0.299714695,0.342509921,0.72069169,0.372410229,0.397222222
69,0.69858196,0.304662987,0.34457036,0.720617982,0.368614719,0.397222222
70,0.700344394,0.297948449,0.34457036,0.721384317,0.377193813,0.397222222
71,0.699875513,0.298032578,0.34457036,0.721368271,0.381750368,0.397222222
72,0.698776261,0.2916802,0.340106074,0.720681507,0.379312558,0.399305556
73,0.698683531,0.293857038,0.341779401,0.720696364,0.378866619,0.397222222
74,0.699386295,0.296279762,0.340998932,0.720702155,0.383895414,0.397222222
75,0.699420355,0.294224102,0.338938492,0.72096183,0.385954323,0.397222222
76,0.699635432,0.284997911,0.342166514,0.720603109,0.367847056,0.397222222
77,0.698980909,0.305021643,0.336534646,0.720539815,0.371952323,0.397222222
78,0.699712051,0.293064574,0.342166514,0.721141804,0.38492594,0.397222222
79,0.698399186,0.282287249,0.348358239,0.720539508,0.372156836,0.397222222
