epoch,d,test,testSim,testSimRN,train,trainSim,trainSimRN
16,1,0.924446342,0.750412088,0.885416667,0.95774464,0.891907929,0.993055556
17,1,0.92315964,0.683938213,0.882284382,0.957372825,0.926535791,1
18,1,0.922582763,0.749603175,0.889880952,0.957277036,0.925506785,0.993055556
19,1,0.921773966,0.733080155,0.874404762,0.957099371,0.919264069,1
20,1,0.923740181,0.670732097,0.862820513,0.956822819,0.904095384,1
21,1,0.920692328,0.721581758,0.891666667,0.956843413,0.910219988,0.993055556
22,1,0.924094361,0.716434301,0.882852564,0.95833978,0.954207251,1
23,1,0.921691776,0.735031115,0.878918998,0.957271586,0.934080503,0.99375
24,1,0.924757562,0.752534241,0.876488095,0.958047351,0.914105686,0.993055556
25,1,0.922874035,0.688691042,0.864583333,0.958194106,0.922993857,1
26,1,0.924348679,0.686995292,0.88125,0.958557278,0.922892732,1
27,1,0.92451202,0.736720708,0.869711538,0.958687258,0.926109307,1
28,1,0.923846223,0.697771433,0.876602564,0.957612316,0.921387467,1
29,1,0.922343313,0.699475355,0.866185897,0.957935968,0.947046703,1
30,1,0.923768555,0.682886905,0.872435897,0.958057931,0.922807921,1
31,1,0.923613805,0.706542886,0.86140873,0.957860681,0.931199009,0.99375
32,1,0.921914424,0.704237185,0.872869318,0.958419422,0.939998543,1
33,1,0.921889961,0.688194935,0.866185897,0.958606975,0.9377664,1
34,1,0.921885715,0.716027033,0.874519231,0.958043953,0.930228626,1
35,1,0.924004889,0.677473752,0.875,0.957707548,0.929152618,0.99375
36,1,0.921742965,0.682223893,0.849702381,0.957816226,0.940570887,0.99375
0,2,0.813895462,0.575240323,0.721933622,0.818100713,0.628267045,0.754243326
1,2,0.834105897,0.651217888,0.789697741,0.855790832,0.649004211,0.835263695
2,2,0.862943407,0.450262976,0.686881868,0.908907433,0.509757576,0.747202797
3,2,0.876287996,0.61493674,0.838035402,0.927185578,0.701817453,0.949276245
4,2,0.903740494,0.660046898,0.824548409,0.954373847,0.821676587,1
5,2,0.907377779,0.701966052,0.869416735,0.952916081,0.90561783,1
6,2,0.902916335,0.777670277,0.888383838,0.948833961,0.920541958,0.993055556
7,2,0.905252916,0.753077163,0.878205128,0.954139091,0.909090052,1
8,2,0.910318981,0.705918428,0.861865259,0.951968773,0.928500146,0.986805556
9,2,0.908802725,0.741209455,0.841332096,0.955372017,0.954541812,1
10,2,0.908440571,0.722375511,0.858927225,0.955917217,0.958001894,1
11,2,0.9104928,0.714452429,0.860582993,0.958945395,0.942562646,0.993055556
12,2,0.906431549,0.715116024,0.868790064,0.954657091,0.941962041,0.993055556
13,2,0.906895921,0.739552125,0.870873397,0.954938273,0.938450092,0.993055556
14,2,0.911389392,0.694384058,0.878230838,0.959153382,0.963395979,1
15,2,0.907658732,0.727333604,0.883285985,0.956277216,0.963301282,1
16,2,0.906800954,0.756277056,0.863734917,0.957916716,0.965104167,1
17,2,0.907243729,0.654953911,0.850093483,0.958230968,0.905938333,0.99375
18,2,0.911650155,0.745679361,0.881290064,0.959179779,0.988020833,1
19,2,0.910146769,0.746958261,0.88504902,0.957395241,0.964251894,1
20,2,0.909346409,0.6377843,0.877604167,0.957086036,0.931679258,1
21,2,0.910858114,0.761505814,0.889015152,0.958391579,0.955729167,0.993055556
22,2,0.912105784,0.730999862,0.863982372,0.957941695,0.9546875,1
23,2,0.910711341,0.68884154,0.893702652,0.957581186,0.967013889,0.993055556
24,2,0.915242921,0.720905708,0.890104167,0.959234669,0.9859375,0.993055556
25,2,0.913242915,0.659156785,0.883285985,0.95837855,0.981691919,0.993055556
26,2,0.911373487,0.69520202,0.874519231,0.959146591,0.977884615,0.993055556
27,2,0.911813808,0.653627928,0.863982372,0.957196117,0.934256369,0.993055556
28,2,0.911487269,0.71384154,0.883333333,0.958220823,0.988636364,0.993055556
29,2,0.9088416,0.688099259,0.869416735,0.956675147,0.974573864,1
30,2,0.911505958,0.684954233,0.883333333,0.95790804,0.984469697,0.993055556
31,2,0.912965319,0.682837302,0.895833333,0.958599336,0.982386364,0.99375
1,3,0.692638155,0.573119589,0.633682984,0.704058086,0.598680746,0.663492063
2,3,0.819323106,0.602036955,0.717730186,0.827483566,0.651495609,0.76871115
3,3,0.879167918,0.558151347,0.8031351,0.908222745,0.56324693,0.833058572
4,3,0.892522725,0.512056684,0.789246211,0.925268131,0.571262408,0.834071484
5,3,0.872391041,0.511378971,0.743206099,0.915433931,0.526059135,0.767278555
6,3,0.90014797,0.540905388,0.844804318,0.93954968,0.602892698,0.909273539
7,3,0.821274378,0.665464744,0.806575369,0.846746474,0.722861443,0.859217172
8,3,0.900038167,0.606602946,0.867044414,0.935747622,0.675409695,0.934090909
9,3,0.905867657,0.663888889,0.8546875,0.946967928,0.779037064,0.948958333
10,3,0.905465569,0.649349093,0.877133283,0.949438015,0.782882836,1
11,3,0.910971954,0.697435795,0.881290064,0.951321486,0.822750534,0.9828125
12,3,0.914741715,0.677485119,0.86581825,0.952072332,0.797962408,0.968229167
13,3,0.916511958,0.703222084,0.905979437,0.953313815,0.790832431,0.985243056
14,3,0.875381851,0.697598387,0.830244755,0.921244798,0.713185914,0.925804924
15,3,0.913197692,0.689462237,0.888933983,0.954545126,0.861867026,0.9796875
16,3,0.915356859,0.659264908,0.863095238,0.952099478,0.776587995,0.974479167
17,3,0.915194664,0.68961946,0.876332001,0.953709516,0.849695617,0.981944444
18,3,0.915665207,0.691908196,0.873572261,0.951540956,0.811540543,0.9796875
19,3,0.917570105,0.718478013,0.901121795,0.956839807,0.880850126,0.985243056
20,3,0.916341516,0.750060877,0.859623016,0.953604042,0.888954285,0.982638889
21,3,0.914489934,0.708127799,0.868450126,0.953440976,0.844090999,0.984375
22,3,0.918888571,0.772776132,0.903117716,0.956105748,0.861322195,1
23,3,0.920369849,0.791746795,0.899519231,0.956747111,0.879522908,0.995833333
24,3,0.920825042,0.728354076,0.878598485,0.956429358,0.825930046,0.988020833
25,3,0.920397138,0.759078625,0.891017316,0.95763876,0.894981061,0.993055556
26,3,0.922715211,0.708768315,0.888068182,0.956942557,0.879890963,1
27,3,0.918542742,0.779941239,0.897435897,0.957957948,0.910464015,1
28,3,0.922515856,0.727441829,0.876332001,0.956177892,0.883830579,0.993055556
29,3,0.922757514,0.775777512,0.889228827,0.956876369,0.943038916,0.993055556
30,3,0.921217673,0.795469585,0.887560356,0.958363843,0.887852599,0.993055556
31,3,0.923573704,0.74985119,0.882867133,0.957734031,0.921882891,1
32,3,0.926113625,0.762580128,0.894303613,0.958809927,0.938731061,1
33,3,0.920085623,0.739684274,0.887674825,0.958123247,0.921510781,1
34,3,0.919367786,0.781597222,0.883814103,0.957502959,0.95374053,0.993055556
35,3,0.921290421,0.785857933,0.882867133,0.960500047,0.95625,0.995833333
36,3,0.920918591,0.766072775,0.902170746,0.958840661,0.951842949,1
37,3,0.916829922,0.780268822,0.893356643,0.95763889,0.963701923,1
38,3,0.918759157,0.762136251,0.891681235,0.960260525,0.937735885,1
39,3,0.919596908,0.780802307,0.894303613,0.958073516,0.976190476,1
40,3,0.91998474,0.773707707,0.902170746,0.958322502,0.969270833,1
