epoch,ex,test,testSim,testSimRN,train,trainSim,trainSimRN
39,orignCE,0.917994624,0.777065369,0.909513403,0.957545612,0.960479798,1
40,orignCE,0.921568183,0.82462888,0.909513403,0.95754943,0.983901515,1
41,orignCE,0.917370255,0.806723823,0.901937646,0.95833288,0.978787879,1
42,orignCE,0.919758331,0.789733047,0.909513403,0.95775093,0.973579545,1
43,orignCE,0.919442536,0.793801292,0.898663836,0.959161883,0.978693182,1
44,orignCE,0.917296055,0.752777778,0.905292624,0.957918771,0.961407343,1
45,orignCE,0.916770321,0.783597725,0.897275641,0.959043898,0.971843434,1
46,orignCE,0.919823647,0.788314536,0.895687646,0.95947398,0.995833333,1
47,orignCE,0.917132107,0.787705707,0.896801728,0.959764857,0.9921875,1
48,orignCE,0.919618029,0.820518207,0.909513403,0.959001532,0.973484848,1
49,orignCE,0.920750469,0.800885007,0.891025641,0.958707901,0.986217949,1
50,orignCE,0.91644406,0.813244721,0.920352564,0.957546476,0.98342803,1
51,orignCE,0.919342605,0.788023619,0.91665626,0.958094447,0.980255682,1
52,orignCE,0.919883415,0.797733516,0.915709291,0.961339213,0.9859375,1
53,orignCE,0.920278922,0.746651786,0.908566434,0.95971036,0.968197601,1
54,orignCE,0.917372713,0.771126708,0.915709291,0.959031499,0.984469697,1
55,orignCE,0.918866872,0.797413571,0.91665626,0.95762435,0.96875,1
56,orignCE,0.919097885,0.768118387,0.873237179,0.957934366,0.983901515,0.99375
57,orignCE,0.913664879,0.756067443,0.884563965,0.956909896,0.943844697,1
58,orignCE,0.916969863,0.7732932,0.911217949,0.958832367,0.973958333,1
59,orignCE,0.917911554,0.807469655,0.891520979,0.957716156,0.973784722,1
0,orignWCE,0.793295216,0.480681483,0.678999126,0.795831911,0.533290526,0.706914613
1,orignWCE,0.772576293,0.616341579,0.780878497,0.773223639,0.625565177,0.830478896
2,orignWCE,0.81917706,0.480121943,0.736688312,0.827752273,0.49984988,0.772577973
3,orignWCE,0.827287068,0.409261228,0.706919061,0.837511149,0.431883054,0.719113092
4,orignWCE,0.831606322,0.480102065,0.71754386,0.84269933,0.509739969,0.744898851
5,orignWCE,0.805307119,0.468517411,0.711237775,0.823081478,0.490309177,0.736443272
6,orignWCE,0.835526906,0.400711378,0.634609821,0.852397656,0.403052149,0.671416371
7,orignWCE,0.839498441,0.438833535,0.684147837,0.856235926,0.456863679,0.721839496
8,orignWCE,0.802104628,0.497516035,0.707121004,0.819040271,0.491589011,0.751288607
9,orignWCE,0.828715919,0.464085861,0.727800141,0.84028102,0.472487938,0.726693359
10,orignWCE,0.855693966,0.398574433,0.634363941,0.868506643,0.41765557,0.655126195
11,orignWCE,0.837450751,0.46667658,0.714376194,0.861380921,0.503521006,0.774842345
12,orignWCE,0.855367986,0.432939977,0.653138455,0.878801316,0.454466569,0.714335251
13,orignWCE,0.847972588,0.423288872,0.687339744,0.8674769,0.45735069,0.710091923
14,orignWCE,0.85492635,0.45002257,0.70624277,0.875303757,0.476222214,0.747878164
15,orignWCE,0.84708317,0.424191169,0.672682275,0.872819222,0.446100936,0.714604972
16,orignWCE,0.859187192,0.430097766,0.696614702,0.881690179,0.428957158,0.76528959
17,orignWCE,0.870618513,0.428276726,0.7277355,0.895772056,0.452818077,0.745382742
18,orignWCE,0.866719458,0.381741314,0.618021737,0.886030891,0.418050533,0.672249685
19,orignWCE,0.88003154,0.465544801,0.746572872,0.903363873,0.480251392,0.798882039
20,orignWCE,0.870737123,0.407109151,0.636714205,0.890971876,0.435818588,0.684675144
21,orignWCE,0.812476251,0.386066491,0.627809528,0.837363445,0.40094434,0.709190779
22,orignWCE,0.883668603,0.392595474,0.696303707,0.911745102,0.420996262,0.745352371
23,orignWCE,0.895711658,0.430922148,0.746910565,0.925479147,0.475162237,0.821404637
24,orignWCE,0.883051042,0.478236774,0.739673347,0.925039884,0.538575725,0.867980902
25,orignWCE,0.894823487,0.504852256,0.765428322,0.934745633,0.552806634,0.918383353
26,orignWCE,0.891712786,0.476232629,0.757907197,0.93012398,0.515767605,0.806649065
27,orignWCE,0.903615087,0.460713241,0.759665335,0.93432252,0.454373896,0.838126457
28,orignWCE,0.905585684,0.478324916,0.805679563,0.943656759,0.513249424,0.945549242
29,orignWCE,0.904426655,0.484281583,0.83974359,0.940527478,0.521949032,0.922726416
30,orignWCE,0.908983653,0.498354493,0.838636364,0.94372077,0.514541997,0.937508498
31,orignWCE,0.906411979,0.581064164,0.856030702,0.946758442,0.662322788,0.974005682
32,orignWCE,0.911814791,0.602315892,0.87797619,0.948647,0.68028054,0.983680556
33,orignWCE,0.911179448,0.560935864,0.877029221,0.948798212,0.671538477,0.957212753
34,orignWCE,0.913584279,0.600558279,0.871420246,0.952653228,0.677404827,0.985243056
35,orignWCE,0.911294543,0.645197741,0.880536131,0.951720744,0.73967148,0.990625
36,orignWCE,0.911357325,0.648967046,0.882284382,0.952318409,0.69496695,1
37,orignWCE,0.913731269,0.64067893,0.89017294,0.954671252,0.780532947,0.995833333
38,orignWCE,0.911099783,0.671464438,0.885270979,0.9520534,0.779843854,0.99375
39,orignWCE,0.912384214,0.661430782,0.884469697,0.952486649,0.748147502,0.995833333
40,orignWCE,0.913734544,0.647232039,0.877029221,0.953826534,0.762248012,1
41,orignWCE,0.916042935,0.709133222,0.883658009,0.955132134,0.762920153,0.995833333
42,orignWCE,0.917419585,0.682693099,0.893695887,0.954406103,0.786414443,1
43,orignWCE,0.913540898,0.67339421,0.902316434,0.953967073,0.795515942,0.995833333
44,orignWCE,0.916873468,0.712190935,0.900324675,0.957196396,0.826006452,1
45,orignWCE,0.913431583,0.691834724,0.884469697,0.955846137,0.824270521,1
46,orignWCE,0.914292082,0.730121871,0.891098485,0.955521852,0.836843365,1
47,orignWCE,0.912474151,0.712853535,0.896801728,0.955277567,0.855859071,1
48,orignWCE,0.914073575,0.690897685,0.883658009,0.956634724,0.849934441,1
49,orignWCE,0.913595149,0.744344199,0.882284382,0.955628689,0.841731185,1
50,orignWCE,0.910730826,0.716804029,0.891098485,0.954936031,0.854650558,1
51,orignWCE,0.916157251,0.725006244,0.909469697,0.956627052,0.851509255,1
52,orignWCE,0.914533788,0.715134761,0.894074675,0.956128906,0.816196016,1
53,orignWCE,0.915551649,0.758725649,0.896000446,0.956908605,0.899869228,1
54,orignWCE,0.90891561,0.778946657,0.901136364,0.955165702,0.897511169,0.995833333
55,orignWCE,0.91599852,0.740272155,0.89905303,0.956504417,0.859305625,1
56,orignWCE,0.912152675,0.698712837,0.87881216,0.95490654,0.811996521,0.984375
57,orignWCE,0.914243242,0.725017782,0.900655594,0.955697497,0.908893374,1
58,orignWCE,0.912450093,0.757698123,0.891098485,0.956872251,0.922349945,1
59,orignWCE,0.913204873,0.786191239,0.891098485,0.95632715,0.905351593,0.99375
0,fixedCESmall,0.819827778,0.508797269,0.757414114,0.828685567,0.536852751,0.779788839
1,fixedCESmall,0.838142601,0.544997711,0.758469308,0.851325034,0.593586002,0.783677107
2,fixedCESmall,0.86340625,0.443912089,0.679120053,0.893779684,0.447640487,0.716164317
3,fixedCESmall,0.89118318,0.544558029,0.839195344,0.922471572,0.582210454,0.851362363
4,fixedCESmall,0.901561191,0.570180051,0.81104243,0.936439262,0.601864158,0.90778372
5,fixedCESmall,0.895013268,0.48402255,0.762247475,0.93227412,0.52531874,0.84131572
6,fixedCESmall,0.908403918,0.572061688,0.832257326,0.944568027,0.594866341,0.948900772
7,fixedCESmall,0.907735711,0.725481413,0.87099359,0.94482757,0.712925011,0.941013072
8,fixedCESmall,0.911011595,0.574000388,0.858763495,0.947271478,0.641990197,0.967647059
9,fixedCESmall,0.913765418,0.725362814,0.871634615,0.951301,0.779527335,0.983006536
10,fixedCESmall,0.918302904,0.686981387,0.862567988,0.953732644,0.770330637,0.993464052
11,fixedCESmall,0.918709287,0.670847076,0.898717949,0.951991884,0.765538383,0.983660131
12,fixedCESmall,0.895655767,0.71222705,0.878685897,0.937132574,0.775598716,0.969489008
13,fixedCESmall,0.911234398,0.616842498,0.792640693,0.950915892,0.719523423,0.936678201
14,fixedCESmall,0.917112808,0.768980928,0.872461485,0.955956424,0.917944147,0.996078431
15,fixedCESmall,0.914847794,0.74223693,0.877029221,0.955800028,0.882384025,1
16,fixedCESmall,0.910745763,0.742641193,0.911217949,0.950501209,0.891875771,0.98627451
17,fixedCESmall,0.919758579,0.72705389,0.904418498,0.954473733,0.839740896,1
18,fixedCESmall,0.922133939,0.801419414,0.919993201,0.958431149,0.901252342,1
19,fixedCESmall,0.922029601,0.780294012,0.902884615,0.95587558,0.904809406,1
20,fixedCESmall,0.920282325,0.803350816,0.91665626,0.956567383,0.902268493,1
21,fixedCESmall,0.919900369,0.718768912,0.871622046,0.955876405,0.879158097,0.988235294
22,fixedCESmall,0.92157631,0.765798611,0.902316434,0.954564875,0.874864351,0.994117647
23,fixedCESmall,0.918347106,0.811387845,0.894642857,0.955593891,0.907348707,1
24,fixedCESmall,0.920695021,0.747443529,0.894642857,0.95714702,0.90717126,1
25,fixedCESmall,0.920911446,0.729986262,0.885760073,0.956912317,0.900804271,1
26,fixedCESmall,0.921157264,0.7457009,0.901785714,0.958359985,0.933333333,1
27,fixedCESmall,0.924598083,0.777701465,0.889033883,0.958396751,0.925178253,1
28,fixedCESmall,0.924351543,0.78800905,0.914194139,0.958520378,0.915287826,0.994117647
29,fixedCESmall,0.919991849,0.783121658,0.904418498,0.957395788,0.952495544,1
30,fixedCESmall,0.924580012,0.811324786,0.918376068,0.959463776,0.951693405,0.994117647
31,fixedCESmall,0.923573479,0.798932073,0.934333028,0.957903704,0.974836601,1
32,fixedCESmall,0.921176458,0.816956418,0.906239594,0.958626231,0.943464052,1
33,fixedCESmall,0.920410664,0.803151473,0.931905594,0.959337578,0.971078431,1
34,fixedCESmall,0.918068452,0.782714965,0.915674603,0.957934373,0.955718954,1
35,fixedCESmall,0.922596936,0.756283337,0.890854978,0.958758017,0.939185977,1
36,fixedCESmall,0.923386529,0.767155634,0.922542735,0.960077946,0.960219846,1
37,fixedCESmall,0.923008811,0.762733657,0.94416521,0.958125908,0.924354404,1
38,fixedCESmall,0.921329633,0.786717235,0.914423077,0.958434331,0.93982129,0.994117647
39,fixedCESmall,0.921936654,0.780639255,0.914481352,0.956559077,0.934402852,1
40,fixedCESmall,0.922635854,0.775601154,0.915826535,0.959611761,0.968062983,1
41,fixedCESmall,0.92129899,0.771092102,0.936069139,0.959170256,0.958957219,1
42,fixedCESmall,0.917326357,0.792903908,0.934333028,0.958338032,0.963826043,1
43,fixedCESmall,0.923215365,0.737362401,0.935122169,0.958819547,0.979500891,1
44,fixedCESmall,0.922979113,0.775522833,0.890854978,0.959087275,0.990196078,1
45,fixedCESmall,0.91822001,0.73728355,0.909513403,0.957663141,0.912477718,1
46,fixedCESmall,0.922608222,0.761667957,0.934333028,0.95593182,0.93307738,1
47,fixedCESmall,0.925986882,0.775598086,0.946485806,0.957692194,0.9384364,1
48,fixedCESmall,0.919322814,0.833107089,0.942574786,0.956986057,0.985294118,0.994117647
49,fixedCESmall,0.926230815,0.786439255,0.918948413,0.959468445,0.967171717,1
50,fixedCESmall,0.921221597,0.774900794,0.907554945,0.958680318,0.969444444,0.994117647
51,fixedCESmall,0.923553578,0.756003719,0.934333028,0.959373989,0.959239453,0.994117647
52,fixedCESmall,0.922239166,0.808671016,0.927255037,0.959102284,0.984313725,1
53,fixedCESmall,0.92292906,0.812184874,0.915674603,0.959694281,0.968181818,0.994117647
54,fixedCESmall,0.923570677,0.789424985,0.918001443,0.958222365,0.955388729,1
55,fixedCESmall,0.924421365,0.806827731,0.933386058,0.959465713,0.979066685,1
56,fixedCESmall,0.92384955,0.776651574,0.930528846,0.958145995,0.946791444,1
57,fixedCESmall,0.925057931,0.832570208,0.918269231,0.96026102,0.971568627,1
58,fixedCESmall,0.926088951,0.782064536,0.917277167,0.960014329,0.95794369,1
59,fixedCESmall,0.92284304,0.76942648,0.893695887,0.957823482,0.933273916,1
0,fixedCELarge,0.809017338,0.506015645,0.716511267,0.815549216,0.534734708,0.771004159
1,fixedCELarge,0.812369472,0.563394765,0.690217075,0.816974142,0.638248214,0.743464052
2,fixedCELarge,0.892591424,0.410251653,0.6917968,0.91811869,0.406285264,0.73408944
3,fixedCELarge,0.898024516,0.402625433,0.763888889,0.936965827,0.403921236,0.808603637
4,fixedCELarge,0.92042919,0.428889464,0.814254496,0.95675484,0.45806314,0.877484444
5,fixedCELarge,0.922606825,0.448308405,0.803463203,0.962490758,0.482477013,0.909536542
6,fixedCELarge,0.914072493,0.428623092,0.730248918,0.950922307,0.483940405,0.820988815
7,fixedCELarge,0.932215193,0.493209281,0.857284382,0.968266076,0.575229927,0.950403691
8,fixedCELarge,0.919315688,0.523328388,0.843421564,0.957688662,0.60906313,0.904554235
9,fixedCELarge,0.934902709,0.591923519,0.907051282,0.971700017,0.672655474,0.996078431
10,fixedCELarge,0.930095087,0.557033863,0.878157994,0.969980147,0.646585377,0.976960784
11,fixedCELarge,0.934585115,0.47069255,0.83655303,0.970863425,0.606188765,0.986928105
12,fixedCELarge,0.935646484,0.598640289,0.898717949,0.972496619,0.709571758,0.986764706
13,fixedCELarge,0.922140799,0.593696581,0.869343891,0.969566387,0.704187808,0.977777778
14,fixedCELarge,0.93352163,0.624224744,0.9002331,0.972673003,0.757075739,0.983737024
15,fixedCELarge,0.931351275,0.512389985,0.846993284,0.971677826,0.640201396,0.980882353
16,fixedCELarge,0.907763398,0.56154967,0.793374389,0.949302007,0.608261079,0.903764605
17,fixedCELarge,0.932844927,0.593732194,0.886858974,0.972507448,0.691186899,0.978389431
18,fixedCELarge,0.917578239,0.471775263,0.757332945,0.955093077,0.57951901,0.898971372
19,fixedCELarge,0.932506389,0.556698851,0.88974359,0.974232985,0.720900925,0.966666667
20,fixedCELarge,0.935403337,0.551022401,0.856574675,0.975303029,0.687569441,0.996078431
21,fixedCELarge,0.938248031,0.593949099,0.889506939,0.976882186,0.777529823,0.996078431
22,fixedCELarge,0.932517705,0.673142375,0.897748697,0.975017767,0.767509667,0.984313725
23,fixedCELarge,0.940210947,0.594230769,0.909134615,0.977030036,0.748728344,0.990196078
24,fixedCELarge,0.941242307,0.632870147,0.891899767,0.979174951,0.777974966,0.996078431
25,fixedCELarge,0.938264458,0.595455487,0.885561661,0.97374226,0.706330461,0.991176471
26,fixedCELarge,0.935776093,0.584559221,0.841925837,0.974967001,0.717222213,0.973041837
27,fixedCELarge,0.942265313,0.620733075,0.907051282,0.97874022,0.785357019,0.996078431
28,fixedCELarge,0.940525056,0.655427798,0.888301282,0.979323979,0.879720305,0.996078431
29,fixedCELarge,0.938235088,0.624237353,0.888392857,0.978702864,0.826290393,0.996078431
30,fixedCELarge,0.935267257,0.561006911,0.872461485,0.975487682,0.761309197,0.984848485
31,fixedCELarge,0.938792818,0.636251692,0.881562014,0.979869338,0.838743871,0.996078431
32,fixedCELarge,0.939789765,0.633805315,0.89047619,0.979358347,0.836770815,0.990196078
33,fixedCELarge,0.931767253,0.64836493,0.914583333,0.976708979,0.880049362,0.996078431
34,fixedCELarge,0.935291339,0.678994353,0.909134615,0.979129877,0.871223874,0.996078431
35,fixedCELarge,0.941360084,0.673347652,0.886217949,0.979275626,0.889784725,0.996078431
36,fixedCELarge,0.944563267,0.673356331,0.904487179,0.981253032,0.914216829,0.996078431
37,fixedCELarge,0.941633288,0.705313783,0.923717949,0.980062406,0.928516255,0.990196078
38,fixedCELarge,0.943258289,0.672962017,0.889335664,0.981412495,0.900564468,0.996078431
39,fixedCELarge,0.943457049,0.699591308,0.908333333,0.981175452,0.926344897,0.996078431
40,fixedCELarge,0.939811264,0.703319233,0.903182234,0.98086974,0.925215961,0.996078431
41,fixedCELarge,0.941685687,0.733988404,0.913301282,0.981647626,0.940937236,0.996078431
42,fixedCELarge,0.940506322,0.714291073,0.889903846,0.982174014,0.927307007,0.996078431
43,fixedCELarge,0.940527857,0.717325267,0.933333333,0.981277705,0.936896832,0.996078431
44,fixedCELarge,0.939518334,0.689516976,0.881662088,0.981223945,0.92346843,0.996078431
45,fixedCELarge,0.942245579,0.654718615,0.916666667,0.980807892,0.931543946,0.996078431
46,fixedCELarge,0.941734406,0.708364246,0.889903846,0.98215001,0.922577165,0.996078431
47,fixedCELarge,0.943428883,0.709424152,0.922916667,0.982907937,0.938621509,0.996078431
48,fixedCELarge,0.941568182,0.698986673,0.904967949,0.982149191,0.920083185,0.996078431
49,fixedCELarge,0.943362384,0.720077561,0.898717949,0.982944972,0.936653869,0.996078431
50,fixedCELarge,0.942597925,0.710585768,0.898237179,0.982423035,0.954901961,0.996078431
51,fixedCELarge,0.944503232,0.690431328,0.925,0.982510112,0.925026281,0.996078431
52,fixedCELarge,0.941441172,0.718822381,0.886385061,0.982959622,0.944058229,0.990196078
53,fixedCELarge,0.940991062,0.724737342,0.911953243,0.981464043,0.941798793,0.996078431
54,fixedCELarge,0.943423163,0.726542208,0.927083333,0.982648778,0.941758415,0.996078431
55,fixedCELarge,0.940370171,0.689537455,0.916666667,0.981887351,0.924806892,0.996078431
56,fixedCELarge,0.935111871,0.665487013,0.895450903,0.97857265,0.828184969,0.990196078
57,fixedCELarge,0.93488352,0.677617342,0.890424679,0.979185817,0.824965721,0.989542484
58,fixedCELarge,0.938576236,0.686956851,0.907051282,0.980510653,0.902792767,0.996078431
59,fixedCELarge,0.94051109,0.670485778,0.907051282,0.980398398,0.917171717,0.996078431
